cv19_activos,cv19_curados,cv19_fallecidos,cv19_total_casos,fecha_datos,isla,municipio,poblacion
2.0,20.0,,19.0,10/06/2021,TENERIFE,La Guancha,5520
1.0,11.0,,10.0,10/06/2021,TENERIFE,Los Silos,4693
,12.0,,11.0,10/06/2021,GRAN CANARIA,Firgas,7455
,44.0,,34.0,10/06/2021,TENERIFE,Santa Úrsula,14679
,,,,10/06/2021,LA PALMA,Puntagorda,2110
,10.0,,2.0,10/06/2021,LA PALMA,Barlovento,1876
,6.0,,6.0,10/06/2021,LA GOMERA,Vallehermoso,2901
,3.0,,,10/06/2021,LA PALMA,Fuencaliente,1722
,5.0,,5.0,10/06/2021,LA PALMA,Puntallana,2506
,7.0,,7.0,10/06/2021,GRAN CANARIA,Valleseco,3749
1.0,10.0,,11.0,10/06/2021,TENERIFE,Vilaflor,1667
,,,,10/06/2021,FUERTEVENTURA,Betancuria,758
,4.0,,4.0,10/06/2021,LA PALMA,Garafía,1667
,1.0,,1.0,10/06/2021,LA GOMERA,Hermigua,1832
,44.0,,41.0,10/06/2021,LA PALMA,Tazacorte,4575
,,,,10/06/2021,LA GOMERA,Agulo,1096
1.0,4.0,,5.0,11/06/2021,TENERIFE,Garachico,4871
115.0,3714.0,39.0,3779.0,11/06/2021,LANZAROTE,Arrecife,62988
9.0,208.0,2.0,198.0,11/06/2021,TENERIFE,La Orotava,42029
1.0,27.0,1.0,24.0,11/06/2021,TENERIFE,La Matanza de Acentejo,9061
3.0,22.0,1.0,24.0,11/06/2021,TENERIFE,Santiago del Teide,11111
1.0,17.0,,18.0,11/06/2021,TENERIFE,San juan de La Rambla,4828
1.0,108.0,1.0,105.0,11/06/2021,LANZAROTE,Tías,20170
,21.0,,12.0,11/06/2021,TENERIFE,Arico,7988
,3.0,,3.0,11/06/2021,LA GOMERA,Valle Gran Rey,4564
